Date,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Description,State FIPS Code,County FIPS Code,Site Latitude,Site Longitude
5/30/2018,0.025,ppm,23,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
5/31/2018,0.021,ppm,19,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
6/1/2018,0.025,ppm,23,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
6/2/2018,0.033,ppm,31,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
6/3/2018,0.027,ppm,25,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
6/4/2018,0.026,ppm,24,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
6/5/2018,0.022,ppm,20,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
6/6/2018,0.031,ppm,29,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
6/7/2018,0.032,ppm,30,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
6/8/2018,0.032,ppm,30,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
6/9/2018,0.023,ppm,21,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
6/10/2018,0.023,ppm,21,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
6/19/2018,0.04,ppm,37,Rosenstiel,13,76,Ozone,12,86,25.73287798,-80.16175011
6/20/2018,0.039,ppm,36,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
6/21/2018,0.045,ppm,42,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
6/22/2018,0.033,ppm,31,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
6/23/2018,0.04,ppm,37,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
6/24/2018,0.034,ppm,31,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
6/25/2018,0.036,ppm,33,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
6/26/2018,0.041,ppm,38,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
6/27/2018,0.033,ppm,31,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
6/28/2018,0.037,ppm,34,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
6/29/2018,0.031,ppm,29,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
6/30/2018,0.028,ppm,26,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
7/1/2018,0.023,ppm,21,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
7/2/2018,0.027,ppm,25,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
7/3/2018,0.045,ppm,42,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
7/4/2018,0.041,ppm,38,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
7/5/2018,0.028,ppm,26,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
7/6/2018,0.024,ppm,22,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
7/7/2018,0.028,ppm,26,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
7/8/2018,0.026,ppm,24,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
7/9/2018,0.026,ppm,24,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
7/10/2018,0.047,ppm,44,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
7/11/2018,0.045,ppm,42,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
7/12/2018,0.034,ppm,31,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
7/13/2018,0.06,ppm,67,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
7/14/2018,0.051,ppm,47,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
7/15/2018,0.045,ppm,42,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
7/16/2018,0.025,ppm,23,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
7/17/2018,0.022,ppm,20,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
7/18/2018,0.023,ppm,21,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
7/19/2018,0.019,ppm,18,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
7/20/2018,0.024,ppm,22,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
7/21/2018,0.024,ppm,22,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
7/22/2018,0.041,ppm,38,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
7/23/2018,0.038,ppm,35,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
7/25/2018,0.032,ppm,30,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
7/26/2018,0.03,ppm,28,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
7/27/2018,0.026,ppm,24,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
7/28/2018,0.029,ppm,27,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
7/29/2018,0.031,ppm,29,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
7/30/2018,0.022,ppm,20,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
7/31/2018,0.022,ppm,20,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
8/1/2018,0.021,ppm,19,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
8/2/2018,0.024,ppm,22,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
8/3/2018,0.024,ppm,22,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
8/4/2018,0.023,ppm,21,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
8/5/2018,0.029,ppm,27,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
8/6/2018,0.025,ppm,23,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
8/7/2018,0.018,ppm,17,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
8/8/2018,0.019,ppm,18,Rosenstiel,16,94,Ozone,12,86,25.73287798,-80.16175011
8/9/2018,0.023,ppm,21,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
8/10/2018,0.036,ppm,33,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
8/11/2018,0.036,ppm,33,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
8/12/2018,0.033,ppm,31,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
8/13/2018,0.034,ppm,31,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
8/14/2018,0.025,ppm,23,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
8/15/2018,0.025,ppm,23,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
8/16/2018,0.023,ppm,21,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
8/17/2018,0.019,ppm,18,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
8/18/2018,0.02,ppm,19,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
8/19/2018,0.026,ppm,24,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
8/20/2018,0.024,ppm,22,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
8/21/2018,0.023,ppm,21,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
8/22/2018,0.025,ppm,23,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
8/23/2018,0.025,ppm,23,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
8/24/2018,0.024,ppm,22,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
