STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,KA1,KA2,MA1,MD1,OC1,OD1,OD2,REM,EQD
01466099999,2024-01-08T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0187,1","-0205,1","10411,1","240,M,-0185,1","240,N,-0190,1","99999,9,10262,1","5,1,001,1,+999,9",,"3,99,0000,1,999",,SYN08201466 46/// /0000 11187 21205 30262 40411 55001 91500 333 11185 21190 90710 91100=,
01466099999,2024-01-08T21:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0205,1","-0224,1","10412,1","240,M,-0201,1","240,N,-0210,1","99999,9,10262,1","9,9,000,1,+999,9",,"3,99,0010,1,999",,SYN08201466 46/// /0000 11205 21224 30262 40412 50000 92100 333 11201 21210 90710 91101=,
01466099999,2024-01-09T03:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0193,1","-0212,1","10391,1","240,M,-0183,1","240,N,-0193,1","99999,9,10242,1","7,1,008,1,+999,9",,"3,99,0010,1,999",,SYN08201466 46/// /0000 11193 21212 30242 40391 57008 90300 333 11183 21193 90710 91101=,
01466099999,2024-01-09T09:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0154,1","-0168,1","10382,1","240,M,-0154,1","240,N,-0167,1","99999,9,10235,1","5,1,001,1,+999,9",,"3,99,0010,1,999",,SYN08201466 46/// /0000 11154 21168 30235 40382 55001 90900 333 11154 21167 90710 91101=,
01466099999,2024-01-09T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0144,1","-0159,1","10370,1","240,M,-0124,1","240,N,-0144,1","99999,9,10224,1","7,1,003,1,+999,9",,"3,99,0000,1,999",,SYN08201466 46/// /0000 11144 21159 30224 40370 57003 91500 333 11124 21144 90710 91100=,
01466099999,2024-01-09T21:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0109,1","-0120,1","10368,1","240,M,-0097,1","240,N,-0110,1","99999,9,10223,1","7,1,002,1,+999,9",,"3,99,0010,1,999",,SYN08201466 46/// /0000 11109 21120 30223 40368 57002 92100 333 11097 21110 90710 91101=,
01466099999,2024-01-10T03:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0181,1","-0194,1","10367,1","240,M,-0167,1","240,N,-0181,1","99999,9,10219,1","5,1,003,1,+999,9",,"3,99,0020,1,999",,SYN08201466 46/// /3100 11181 21194 30219 40367 55003 90300 333 11167 21181 90710 91102=,
01466099999,2024-01-10T09:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0176,1","-0191,1","10350,1","240,M,-0172,1","240,N,-0192,1","99999,9,10202,1","5,1,002,1,+999,9",,"3,99,0010,1,999",,SYN08201466 46/// /0000 11176 21191 30202 40350 55002 90900 333 11172 21192 90710 91101=,
01466099999,2024-01-10T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0155,1","-0169,1","10329,1","240,M,-0108,1","240,N,-0155,1","99999,9,10183,1","6,1,012,1,+999,9",,"3,99,0020,1,999",,SYN08201466 46/// /2400 11155 21169 30183 40329 56012 91500 333 11108 21155 90710 91102=,
01466099999,2024-01-10T21:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0106,1","-0116,1","10318,1","240,M,-0103,1","240,N,-0114,1","99999,9,10175,1","8,1,003,1,+999,9",,"3,99,0020,1,999",,SYN08201466 46/// /0000 11106 21116 30175 40318 58003 92100 333 11103 21114 90710 91102=,
01466099999,2024-01-11T03:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0064,1","-0073,1","10304,1","240,M,-0061,1","240,N,-0065,1","99999,9,10163,1","8,1,009,1,+999,9",,"3,99,0020,1,999",,SYN08201466 46/// /0000 11064 21073 30163 40304 58009 90300 333 11061 21065 90710 91102=,
01466099999,2024-01-11T09:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"220,1,N,0020,1","99999,9,9,N","999999,9,9,9","-0018,1","-0021,1","10305,1","240,M,-0018,1","240,N,-0053,1","99999,9,10166,1","3,1,007,1,+999,9",,"3,99,0050,1,999",,SYN08201466 46/// /2202 11018 21021 30166 40305 53007 90900 333 11018 21053 90710 91105=,
01466099999,2024-01-11T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"320,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0034,1","-0042,1","10315,1","240,M,-0029,1","240,N,-0050,1","99999,9,10175,1","7,1,003,1,+999,9",,"3,99,0030,1,999",,SYN08201466 46/// /3201 11034 21042 30175 40315 57003 91500 333 11029 21050 90710 91103=,
01466099999,2024-01-11T21:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"310,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0099,1","-0107,1","10312,1","240,M,-0073,1","240,N,-0100,1","99999,9,10169,1","5,1,004,1,+999,9",,"3,99,0020,1,999",,SYN08201466 46/// /3101 11099 21107 30169 40312 55004 92100 333 11073 21100 90710 91102=,
01466099999,2024-01-12T03:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"020,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0128,1","-0136,1","10275,1","240,M,-0116,1","240,N,-0144,1","99999,9,10132,1","7,1,021,1,+999,9",,"3,99,0020,1,999",,SYN08201466 46/// /0201 11128 21136 30132 40275 57021 90300 333 11116 21144 90710 91102=,
01466099999,2024-01-12T09:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"130,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0100,1","-0106,1","10239,1","240,M,-0100,1","240,N,-0123,1","99999,9,10097,1","6,1,015,1,+999,9",,"3,99,0030,1,999",,SYN08201466 46/// /1301 11100 21106 30097 40239 56015 90900 333 11100 21123 90710 91103=,
01466099999,2024-01-12T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0080,1","-0084,1","10213,1","240,M,-0077,1","240,N,-0085,1","99999,9,10073,1","6,1,021,1,+999,9",,"3,99,0010,1,999",,SYN08201466 46/// /1200 11080 21084 30073 40213 56021 91500 333 11077 21085 90710 91101=,
01466099999,2024-01-12T21:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0130,1","-0141,1","10168,1","240,M,-0107,1","240,N,-0130,1","99999,9,10025,1","8,1,032,1,+999,9",,"3,99,0020,1,999",,SYN08201466 46/// /0000 11130 21141 30025 40168 58032 92100 333 11107 21130 90710 91102=,
01466099999,2024-01-13T03:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"180,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0063,1","-0063,1","10066,1","240,M,-0060,1","240,N,-0083,1","99999,9,09928,1","8,1,058,1,+999,9",,"3,99,0020,1,999",,SYN08201466 46/// /1801 11063 21063 39928 40066 58058 90300 333 11060 21083 90710 91102=,
01466099999,2024-01-13T09:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0047,1","-0047,1","09995,1","240,M,-0042,1","240,N,-0047,1","99999,9,09859,1","6,1,023,1,+999,9",,"3,99,0010,1,999",,SYN08201466 46/// /0000 11047 21047 39859 49995 56023 90900 333 11042 21047 90710 91101=,
01466099999,2024-01-13T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0064,1","-0067,1","09980,1","240,M,-0059,1","240,N,-0073,1","99999,9,09844,1","7,1,005,1,+999,9",,"3,99,0020,1,999",,SYN08201466 46/// /0000 11064 21067 39844 49980 57005 91500 333 11059 21073 90710 91102=,
01466099999,2024-01-13T21:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"150,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0070,1","-0075,1","09976,1","240,M,-0063,1","240,N,-0083,1","99999,9,09839,1","7,1,002,1,+999,9",,"3,99,0030,1,999",,SYN08201466 46/// /1501 11070 21075 39839 49976 57002 92100 333 11063 21083 90710 91103=,
