STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP
01466099999,2024-01-10T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0155,1","-0169,1","10329,1"
01466099999,2024-01-10T21:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0106,1","-0116,1","10318,1"
01466099999,2024-01-11T03:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0064,1","-0073,1","10304,1"
01466099999,2024-01-11T09:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"220,1,N,0020,1","99999,9,9,N","999999,9,9,9","-0018,1","-0021,1","10305,1"
01466099999,2024-01-11T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"320,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0034,1","-0042,1","10315,1"
01466099999,2024-01-11T21:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"310,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0099,1","-0107,1","10312,1"
01466099999,2024-01-12T03:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"020,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0128,1","-0136,1","10275,1"
01466099999,2024-01-12T09:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"130,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0100,1","-0106,1","10239,1"
01466099999,2024-01-12T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0080,1","-0084,1","10213,1"
01466099999,2024-01-12T21:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0130,1","-0141,1","10168,1"
